City,FAA,IATA,ICAO,Airport,Role,Enplanements
Pocatello,PIH,PIH,KPIH,Pocatello Regional Airport,P-N,46_303
Twin Falls,TWF,TWF,KTWF,Magic Valley Regional Airport (Joslin Field),P-N,47_084
ILLINOIS,,,,,,
Belleville,BLV,BLV,KBLV,MidAmerica St. Louis Airport / Scott Air Force Base,P-N,152_278
Bloomington / Normal,BMI,BMI,KBMI,Central Illinois Regional Airport at Bloomington-Normal,P-N,178_057
Champaign / Urbana / Savoy,CMI,CMI,KCMI,University of Illinois - Willard Airport,P-N,109_878
Chicago,MDW,MDW,KMDW,Chicago Midway International Airport,P-L,10_678_018
Chicago,ORD,ORD,KORD,Chicago O'Hare International Airport,P-L,39_873_927
Marion,MWA,MWA,KMWA,Veterans Airport of Southern Illinois (Williamson County Regional Airport),P-N,11_078
Moline,MLI,MLI,KMLI,Quad City International Airport,P-N,355_241
Peoria,PIA,PIA,KPIA,General Downing-Peoria International Airport,P-N,328_769
Rockford,RFD,RFD,KRFD,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),P-N,106_710
Springfield,SPI,SPI,KSPI,Abraham Lincoln Capital Airport,P-N,776_950
INDIANA,,,,,,
Evansville,EVV,EVV,KEVV,Evansville Regional Airport,P-N,228_850
Fort Wayne,FWA,FWA,KFWA,Fort Wayne International Airport,P-S,372_030
Indianapolis,IND,IND,KIND,Indianapolis International Airport,P-M,4_655_847
South Bend,SBN,SBN,KSBN,South Bend International Airport,P-S,366_617
IOWA,,,,,,
Cedar Rapids,CID,CID,KCID,Eastern Iowa Airport,P-S,602_058
Des Moines,DSM,DSM,KDSM,Des Moines International Airport,P-S,1_347_876
Dubuque,DBQ,DBQ,KDBQ,Dubuque Regional Airport,P-N,38_831
Sioux City,SUX,SUX,KSUX,Sioux Gateway Airport (Brig. General Bud Day Field),P-N,44_779
Waterloo,ALO,ALO,KALO,Waterloo Regional Airport,P-N,23_892
KANSAS,,,,,,
Garden City,GCK,GCK,KGCK,Garden City Regional Airport,P-N,25_243
Hays,HYS,HYS,KHYS,Hays Regional Airport,P-N,11_996
Manhattan,MHK,MHK,KMHK,Manhattan Regional Airport,P-N,72_883
Salina,SLN,SLN,KSLN,Salina Regional Airport,P-N,15_977
Wichita,ICT,ICT,KICT,Wichita Dwight D. Eisenhower National Airport (was Wichita Mid-Continent Airport),P-S,812_252
KENTUCKY,,,,,,
Cincinnati/Covington,CVG,CVG,KCVG,Cincinnati/Northern Kentucky International Airport,P-M,4_269_258
Lexington,LEX,LEX,KLEX,Blue Grass Airport,P-S,657_018
Louisville,SDF,SDF,KSDF,Louisville International Airport (Standiford Field),P-S,1_877_861
Owensboro,OWB,OWB,KOWB,Owensboro-Daviess County Regional Airport,P-N,19_532
Paducah,PAH,PAH,KPAH,Barkley Regional Airport,P-N,20_934
LOUISIANA,,,,,,
Alexandria,AEX,AEX,KAEX,Alexandria International Airport,P-N,141_173
Baton Rouge,BTR,BTR,KBTR,Baton Rouge Metropolitan Airport (Ryan Field),P-N,390_107
Lafayette,LFT,LFT,KLFT,Lafayette Regional Airport (Paul Fournet Field),P-N,223_529
Lake Charles,LCH,LCH,KLCH,Lake Charles Regional Airport,P-N,58_122
Monroe,MLU,MLU,KMLU,Monroe Regional Airport,P-N,107_107
New Orleans,MSY,MSY,KMSY,Louis Armstrong New Orleans International Airport,P-M,6_582_066
Shreveport,SHV,SHV,KSHV,Shreveport Regional Airport,P-N,291_136
MAINE,,,,,,
Bangor,BGR,BGR,KBGR,Bangor International Airport,P-N,336_140
Portland,PWM,PWM,KPWM,Portland International Jetport,P-S,1_062_873
Presque Isle,PQI,PQI,KPQI,Presque Isle International Airport,P-N,10_865
Rockland,RKD,RKD,KRKD,Knox County Regional Airport,P-N,17_133
MARYLAND,,,,,,
Baltimore,BWI,BWI,KBWI,Baltimore/Washington International Airport,P-L,13_284_687
Hagerstown,HGR,HGR,KHGR,Hagerstown Regional Airport (Richard A. Henson Field),P-N,29_105
Salisbury,SBY,SBY,KSBY,Salisbury-Ocean City-Wicomico Regional Airport,P-N,70_111
MASSACHUSETTS,,,,,,
Boston,BOS,BOS,KBOS,Gen. Edward Lawrence Logan International Airport,P-L,20_006_521
Hyannis,HYA,HYA,KHYA,Cape Cod Gateway Airport (Boardman/Polando Field),P-N,28_341
Nantucket,ACK,ACK,KACK,Nantucket Memorial Airport,P-N,126_610
Vineyard Haven,MVY,MVY,KMVY,Martha's Vineyard Airport,P-N,52_605
Worcester,ORH,ORH,KORH,Worcester Regional Airport,P-N,71_631
MICHIGAN,,,,,,
Alpena,APN,APN,KAPN,Alpena County Regional Airport,P-N,11_614
Detroit,DTW,DTW,KDTW,Detroit Metro Wayne County Airport,P-L,17_436_837
Escanaba,ESC,ESC,KESC,Delta County Airport,P-N,18_474
Flint,FNT,FNT,KFNT,Bishop International Airport,P-N,361_709
Grand Rapids,GRR,GRR,KGRR,Gerald R. Ford International Airport,P-S,1_631_398
Hancock,CMX,CMX,KCMX,Houghton County Memorial Airport,P-N,24_041
Iron Mountain,IMT,IMT,KIMT,Ford Airport,P-N,19_552
Kalamazoo,AZO,AZO,KAZO,Kalamazoo/Battle Creek International Airport,P-N,152_845
Lansing,LAN,LAN,KLAN,Capital Region International Airport (was Lansing Capital City),P-N,184_018
Marquette,SAW,MQT,KSAW,Sawyer International Airport,P-N,53_558
Muskegon,MKG,MKG,KMKG,Muskegon County Airport,P-N,18_718
Pellston,PLN,PLN,KPLN,Pellston Regional/Emmet County Airport,P-N,25_464
Saginaw,MBS,MBS,KMBS,MBS International Airport,P-N,127_627
Sault Ste. Marie,CIU,CIU,KCIU,Chippewa County International Airport,P-N,23_324
Traverse City,TVC,TVC,KTVC,Cherry Capital Airport (was Cherry County Airpark),P-N,247_324
MINNESOTA,,,,,,
Bemidji,BJI,BJI,KBJI,Bemidji Regional Airport,P-N,30_081
Brainerd,BRD,BRD,KBRD,Brainerd Lakes Regional Airport,P-N,22_233
Duluth,DLH,DLH,KDLH,Duluth International Airport,P-N,136_806
Hibbing,HIB,HIB,KHIB,Range Regional Airport (was Chisholm-Hibbing Airport),P-N,17_111
Minneapolis-St. Paul,MSP,MSP,KMSP,Minneapolis-St. Paul International/Wold-Chamberlain Airport,P-L,18_361_942
Rochester,RST,RST,KRST,Rochester International Airport,P-N,182_509
St. Cloud,STC,STC,KSTC,St. Cloud Regional Airport,P-N,22_464
MISSISSIPPI,,,,,,
Columbus,GTR,GTR,KGTR,Golden Triangle Regional Airport,P-N,46_246
Gulfport / Biloxi,GPT,GPT,KGPT,Gulfport-Biloxi International Airport,P-N,359_055
Hattiesburg / Laurel,PIB,PIB,KPIB,Hattiesburg-Laurel Regional Airport,P-N,9_813
Jackson,JAN,JAN,KJAN,Jackson-Medgar Wiley Evers International Airport,P-S,489_454
Meridian,MEI,MEI,KMEI,Key Field,P-N,19_332
Tupelo,TUP,TUP,KTUP,Tupelo Regional Airport (C.D. Lemons Field),P-N,13_557
MISSOURI,,,,,,
Branson,BBG,BKG,KBBG,Branson Airport,P-N,1_601
Columbia,COU,COU,KCOU,Columbia Regional Airport,P-N,120_235
Fort Leonard Wood / Waynesville,TBN,TBN,KTBN,Waynesville-St. Robert Regional Airport (Forney Field),P-N,7_717
Joplin,JLN,JLN,KJLN,Joplin Regional Airport,P-N,40_013
Kansas City,MCI,MCI,KMCI,Kansas City International Airport (was Mid-Continent International),P-M,5_790_847
St. Louis,STL,STL,KSTL,St. Louis Lambert International Airport,P-M,7_631_953
Springfield,SGF,SGF,KSGF,Springfield-Branson National Airport,P-S,523_108
MONTANA,,,,,,
Billings,BIL,BIL,KBIL,Billings Logan International Airport,P-S,440_263
Bozeman,BZN,BZN,KBZN,Bozeman Yellowstone International Airport (was Gallatin Field),P-S,670_295
Butte,BTM,BTM,KBTM,Bert Mooney Airport,P-N,25_803
Great Falls,GTF,GTF,KGTF,Great Falls International Airport,P-N,176_434
Helena,HLN,HLN,KHLN,Helena Regional Airport,P-N,115_438
Kalispell,GPI,FCA,KGPI,Glacier Park International Airport,P-S,307_242
Missoula,MSO,MSO,KMSO,Missoula Montana Airport (was Missoula International Airport),P-S,425_563
West Yellowstone,WYS,WYS,KWYS,Yellowstone Airport,P-N,8_200
NEBRASKA,,,,,,
Grand Island,GRI,GRI,KGRI,Central Nebraska Regional Airport,P-N,63_298
