City,FAA,IATA,ICAO,Airport,Role,Enplanements
Killeen,GRK,GRK,KGRK,Killeen-Fort Hood Regional Airport / Robert Gray Army Airfield,P-N,154_328
Laredo,LRD,LRD,KLRD,Laredo International Airport,P-N,95_858
Longview,GGG,GGG,KGGG,East Texas Regional Airport,P-N,24_588
Lubbock,LBB,LBB,KLBB,Lubbock Preston Smith International Airport,P-S,484_010
McAllen,MFE,MFE,KMFE,McAllen Miller International Airport,P-S,347_440
Midland / Odessa,MAF,MAF,KMAF,Midland International Air and Space Port,P-S,618_794
San Angelo,SJT,SJT,KSJT,San Angelo Regional Airport (Mathis Field),P-N,55_301
San Antonio,SAT,SAT,KSAT,San Antonio International Airport,P-M,4_844_427
Tyler,TYR,TYR,KTYR,Tyler Pounds Regional Airport,P-N,48_532
Waco,ACT,ACT,KACT,Waco Regional Airport,P-N,57_344
Wichita Falls,SPS,SPS,KSPS,Wichita Falls Municipal Airport / Sheppard Air Force Base,P-N,38_026
UTAH,,,,,,
Cedar City,CDC,CDC,KCDC,Cedar City Regional Airport,P-N,15_835
Moab,CNY,CNY,KCNY,Canyonlands Regional Airport,P-N,14_035
Ogden,OGD,OGD,KOGD,Ogden-Hinckley Airport,P-N,18_327
Provo,PVU,PVU,KPVU,Provo Municipal Airport,P-N,80_106
St. George,SGU,SGU,KSGU,St. George Regional Airport,P-N,123_060
Salt Lake City,SLC,SLC,KSLC,Salt Lake City International Airport,P-L,12_226_730
VERMONT,,,,,,
Burlington,BTV,BTV,KBTV,Burlington International Airport,P-S,658_879
VIRGINIA,,,,,,
Charlottesville,CHO,CHO,KCHO,Charlottesville-Albemarle Airport,P-N,352_816
Lynchburg,LYH,LYH,KLYH,Lynchburg Regional Airport (Preston Glenn Field),P-N,83_392
Newport News,PHF,PHF,KPHF,Newport News/Williamsburg International Airport (Patrick Henry Field),P-N,195_573
Norfolk,ORF,ORF,KORF,Norfolk International Airport,P-M,1_846_031
Richmond,RIC,RIC,KRIC,Richmond International Airport (Byrd Field),P-S,2_048_691
Roanoke,ROA,ROA,KROA,Roanoke-Blacksburg Regional Airport (Woodrum Field),P-N,330_063
Staunton / Waynesboro / Harrisonburg,SHD,SHD,KSHD,Shenandoah Valley Regional Airport,P-N,12_179
Washington_ D.C. / Arlington,DCA,DCA,KDCA,Ronald Reagan Washington National Airport,P-L,11_366_771
Washington_ D.C. / Dulles / Chantilly,IAD,IAD,KIAD,Washington Dulles International Airport,P-L,11_621_623
WASHINGTON,,,,,,
Bellingham,BLI,BLI,KBLI,Bellingham International Airport,P-N,368_186
Eastsound,ORS,ESD,KORS,Orcas Island Airport,P-N,10_101
Everett,PAE,PAE,KPAE,Paine Field (Snohomish County Airport),P-N,3_037
Friday Harbor,FHR,FRD,KFHR,Friday Harbor Airport,P-N,13_497
Pasco,PSC,PSC,KPSC,Tri-Cities Airport,P-S,395_348
Pullman / Moscow_ Idaho,PUW,PUW,KPUW,Pullman-Moscow Regional Airport,P-N,66_669
Seattle,BFI,BFI,KBFI,King County International Airport (Boeing Field),P-N,18_586
Seattle / Tacoma (SeaTac),SEA,SEA,KSEA,Seattle-Tacoma International Airport,P-L,24_024_908
Spokane,GEG,GEG,KGEG,Spokane International Airport (Geiger Field),P-S,1_872_781
Walla Walla,ALW,ALW,KALW,Walla Walla Regional Airport,P-N,49_527
Wenatchee,EAT,EAT,KEAT,Pangborn Memorial Airport,P-N,64_528
Yakima,YKM,YKM,KYKM,Yakima Air Terminal (McAllister Field),P-N,69_510
WEST VIRGINIA,,,,,,
Charleston,CRW,CRW,KCRW,Yeager Airport,P-N,216_873
Clarksburg,CKB,CKB,KCKB,North Central West Virginia Airport (was Harrison-Marion Regional),P-N,36_917
Huntington,HTS,HTS,KHTS,Tri-State Airport (Milton J. Ferguson Field),P-N,101_701
Lewisburg,LWB,LWB,KLWB,Greenbrier Valley Airport,P-N,10_359
WISCONSIN,,,,,,
Appleton,ATW,ATW,KATW,Appleton International Airport,P-S,348_026
Eau Claire,EAU,EAU,KEAU,Chippewa Valley Regional Airport,P-N,23_950
Green Bay,GRB,GRB,KGRB,Green Bay-Austin Straubel International Airport,P-N,314_909
La Crosse,LSE,LSE,KLSE,La Crosse Regional Airport,P-N,99_651
Madison,MSN,MSN,KMSN,Dane County Regional Airport (Truax Field),P-S,1_043_185
Milwaukee,MKE,MKE,KMKE,Milwaukee Mitchell International Airport,P-M,3_496_724
Mosinee,CWA,CWA,KCWA,Central Wisconsin Airport,P-N,124_632
Rhinelander,RHI,RHI,KRHI,Rhinelander-Oneida County Airport,P-N,24_477
WYOMING,,,,,,
Casper,CPR,CPR,KCPR,Casper-Natrona County International Airport,P-N,66_629
Cody,COD,COD,KCOD,Yellowstone Regional Airport,P-N,37_349
Gillette,GCC,GCC,KGCC,Gillette-Campbell County Airport,P-N,23_873
Jackson,JAC,JAC,KJAC,Jackson Hole Airport,P-S,497_548
Laramie,LAR,LAR,KLAR,Laramie Regional Airport,P-N,16_728
Riverton,RIW,RIW,KRIW,Central Wyoming Regional Airport (was Riverton Regional),P-N,15_420
Rock Springs,RKS,RKS,KRKS,Southwest Wyoming Regional Airport (Rock Springs-Sweetwater County Airport),P-N,16_679
Sheridan,SHR,SHR,KSHR,Sheridan County Airport,P-N,23_920
GUAM,,,,,,
Agana / Tamuning,GUM,GUM,PGUM,Antonio B. Won Pat International Airport,P-N,1_736_131
NORTHERN MARIANAS,,,,,,
Obyan_ Saipan Island,GSN,SPN,PGSN,Saipan International Airport (Francisco C. Ada),P-N,595_181
Tinian Island,TNI,TIQ,PGWT,Tinian International Airport (West Tinian),P-N,38_664
PUERTO RICO,,,,,,
Aguadilla,BQN,BQN,TJBQ,Rafael Hernández Airport,P-N,294_921
Ceiba,RVR,NRR,TJRV,José Aponte de la Torre Airport,P-N,21_870
Culebra,CPX,CPX,TJCP,Benjamín Rivera Noriega Airport,P-N,14_612
Ponce,PSE,PSE,TJPS,Mercedita Airport,P-N,91_966
San Juan,SIG,SIG,TJIG,Fernando Luis Ribas Dominicci Airport (Isla Grande Airport),P-N,14_106
San Juan / Carolina,SJU,SJU,TJSJ,Luis Muñoz Marín International Airport,P-M,4_033_412
Vieques,VQS,VQS,TJVQ,Antonio Rivera Rodríguez Airport,P-N,29_022
U.S. VIRGIN ISLANDS,,,,,,
Charlotte Amalie_ St. Thomas,STT,STT,TIST,Cyril E. King Airport,P-S,417_871
Christiansted_ St. Croix,STX,STX,TISX,Henry E. Rohlsen Airport,P-N,212_812
